_id,name,capital,nat_dish,pop_dish_1,pop_dish_2
MAR,morocco,rabat,couscous,tagine,pastilla
PHL,philippines,manila,Adobo,Sinigang,Lumpia
IND,india,new delhi,khichdi,biryani,butter chicken
SGP,singapore,singapore,hainanese chicken rice,nasi lemak,roti prata
BGD,bangladesh,dhaka,hilsha curry,kacchi biryani,haleem
CHN,china,beijing,peking duck,zhajiangmian,hotpot
KOR,south korea,seoul,kimchi,korean bbq,bibimbap
JPN,japan,tokyo,curry rice,soba,sushi
MEX,mexico,mexico city,tacos,quesadillas,tamales
USA,united states of america,washington dc,cheeseburger,pizza,barbecue